Nazwa miejscowości ;Rodzaj;Województwo
Aleksandrów;wieś;wielkopolskie
Aleksandrów;wieś;wielkopolskie
Aleksandrów;wieś;wielkopolskie
Aleksandrów Drugi;część miasta Warszawa;mazowieckie
Aleksandrów Duży;wieś;mazowieckie
Aleksandrów k. Wąsosza;wieś;śląskie
Aleksandrów Kujawski;miasto;kujawsko-pomorskie
Aleksandrów Łódzki;miasto;łódzkie
Aleksandrów Pierwszy;część miasta Warszawa;mazowieckie
Aleksandrów Trzeci;część miasta Warszawa;mazowieckie
Aleksandrówek;część miasta Aleksandrów Kujawski;kujawsko-pomorskie
Aleksandrówek;wieś;łódzkie
Aleksandrówek;wieś;łódzkie
Aleksandrówek;wieś;łódzkie
Aleksandrówek;wieś;wielkopolskie
Aleksandrówka;wieś;lubelskie
Aleksandrówka;wieś;lubelskie
Aleksandrówka;wieś;lubelskie
Aleksandrówka;wieś;lubelskie
Aleksandrówka;wieś;łódzkie
Aleksandrówka;wieś;łódzkie
Aleksandrówka;część miasta Rawa Mazowiecka;łódzkie
Aleksandrówka;część miasta Nowy Sącz;małopolskie
Aleksandrówka;część miasta Ciechanów;mazowieckie
Aleksandrówka;wieś;mazowieckie
Aleksandrówka;wieś;mazowieckie
Aleksandrówka;wieś;mazowieckie
Aleksandrówka;wieś;mazowieckie
Aleksandrówka;wieś;mazowieckie
Aleksandrówka;wieś;podlaskie
Aleksandrówka;wieś;śląskie
Aleksandrówka;wieś;wielkopolskie
Aleksandrynów;wieś;mazowieckie
Aleksicze;wieś;podlaskie
Aleksiejówka;wieś;podlaskie
Alfonsowo;wieś;mazowieckie
Alfonsów;wieś;łódzkie
Alfonsów;wieś;łódzkie
Alfonsów;wieś;łódzkie
Alfonsów;wieś;mazowieckie
Alfredówka;wieś;podkarpackie
Alinowo;wieś;wielkopolskie
Alojzów;wieś;lubelskie
Alojzów;wieś;lubelskie
Alojzów;wieś;mazowieckie
Altana;wieś;kujawsko-pomorskie
Altanka;wieś;mazowieckie
Alwernia;miasto;małopolskie
Amandów;wieś;śląskie
Ambrożew;wieś;łódzkie
Ambrożów;wieś;świętokrzyskie
Amelin;wieś;lubelskie
Amelin;wieś;lubelskie
Amelin;wieś;łódzkie
Amelin;wieś;mazowieckie
Ameryka;wieś;lubelskie
Anastazew;wieś;łódzkie
Anastazew;wieś;mazowieckie
Anastazewo;wieś;wielkopolskie
Anastazów;wieś;łódzkie
Anatolin;wieś;mazowieckie
Ancuty;wieś;podlaskie
Andrespol;wieś;łódzkie
Andruszkowice;wieś;świętokrzyskie
Andrychów;miasto;małopolskie
Andrychy;wieś;podlaskie
Andryjanki;wieś;podlaskie
Andrzejewo;wieś;mazowieckie
Andrzejewo;wieś;podlaskie
Andrzejewo;część miasta Kostrzyn;wielkopolskie
Andrzejki;wieś;podlaskie
Andrzejki-Tyszki;wieś;mazowieckie
Andrzejów;wieś;lubelskie
Andrzejów;wieś;lubelskie
Andrzejów;wieś;lubelskie
Andrzejów;wieś;łódzkie
Andrzejów;część miasta Łódź;łódzkie
Andrzejów;wieś;łódzkie
Andrzejów;wieś;łódzkie
Andrzejów;wieś;mazowieckie
Andrzejów;wieś;mazowieckie
Andrzejów Duranowski;wieś;mazowieckie
Andrzejówka;wieś;lubelskie
Andrzejówka;wieś;lubelskie
Andrzejówka;wieś;małopolskie
Andrzejówka;wieś;mazowieckie
Andzin;wieś;mazowieckie
Angowice;wieś;pomorskie
Anielew;wieś;mazowieckie
Anielew;wieś;wielkopolskie
Anielewo;wieś;wielkopolskie
Anielewo;wieś;wielkopolskie
Anielin;wieś;kujawsko-pomorskie
Anielin;wieś;lubelskie
Anielin;wieś;lubelskie
Anielin;wieś;łódzkie
Anielin;wieś;łódzkie
Anielin;wieś;łódzkie
Anielin;wieś;łódzkie
Anielin;wieś;łódzkie
Anielin;wieś;łódzkie
Anielin;wieś;mazowieckie
